v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030567316,0.016645193,0.030665526,0.016645193,0.0039295317,0.0024077273,0.003992475,0.0027096774,0.0,0.0,0.0,0.0,0.25928518,0.24211979,0.25928518,0.24211979,0.084154874,0.36611596,0.2818843,0.40141416,0.005197656,0.004473518,0.008196683,0.01382796,0.0,0.0,0.0,0.0,0.30454922,-0.20441763,0.30454922,0.21668603,0.07488223,-0.15789066,0.15034139,0.17892207,0.005358557,-0.012735366,0.0062189265,0.013716182,0.0,0.0,0.0,0.0,0.037679117,0.011735711,0.037679117,0.011829618,0.01545799,0.0012661462,0.023967449,0.0076470044,0.0004120335,-0.0010602806,0.0010042806,0.0013095572
0.006148279,-0.0019401673,0.006179485,0.0031984325,0.008607385,-0.012064717,0.013233174,0.01265017,-0.009404353,-0.0074164737,0.011534887,0.008177858,-0.00084627594,-0.00016665418,0.0009349189,0.0004189697,0.006743805,-0.015917279,0.006743805,0.015917279,0.4186608,-0.0042550736,0.43074852,0.2405545,-0.14723268,-0.02574206,0.16130655,0.09520069,0.0023153492,-0.0070151775,0.005642181,0.012207051,0.0,0.0,0.0,0.0,0.24225608,-0.2434397,0.24225608,0.2434397,-0.17851275,-0.32480714,0.19773753,0.32480714,0.020064145,-0.04107838,0.020064145,0.04107838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035741325,0.014831428,0.037153386,0.015262279,0.0005936333,-0.0008883372,0.0035168044,0.0025647623,0.0,0.0,0.0,0.0,0.24279542,0.18147415,0.24279542,0.18147415,0.19913071,0.29457343,0.2989279,0.33407852,-0.024962183,0.0053880177,0.02681551,0.013142318,0.0,0.0,0.0,0.0,0.42660612,-0.09541721,0.42660612,0.12284758,0.07249766,-0.04639149,0.24334206,0.14106739,-0.033709116,0.001726501,0.033709116,0.009838103,0.0,0.0,0.0,0.0,0.04117646,0.0031098751,0.04117646,0.0033108834,0.038326427,-0.0009621057,0.04337344,0.015235187,-0.006798406,0.0009224487,0.006798406,0.0013631628
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05476357,0.015525543,0.055172242,0.022432512,0.0054314537,0.0011681257,0.008924403,0.0032307487,0.0,0.0,0.0,0.0,0.3142003,0.19370286,0.3142003,0.19370286,0.18773423,0.22904536,0.28191453,0.25518423,0.01496721,-0.00056954834,0.045623165,0.023784665,0.0,0.0,0.0,0.0,0.4432861,-0.12125982,0.4432861,0.14457928,0.12614222,-0.02733488,0.15071766,0.0837281,-0.012491784,-0.0050514317,0.023586359,0.019835092,0.0,0.0,0.0,0.0,0.06615494,0.006370848,0.06615494,0.0088909175,0.012068832,0.003346051,0.013868548,0.007871711,-0.001996783,0.002086367,0.00244406,0.0027342944
0.0,0.0,0.0,0.0,0.05467901,-0.012235469,0.055342317,0.01352922,-0.004438519,0.0017836277,0.06612109,0.01819338,-0.0012227839,-0.001485208,0.001895585,0.0024209465,0.0,0.0,0.0,0.0,0.42018566,0.12013535,0.42018566,0.13741708,-0.13306262,0.08433216,0.23740657,0.15005374,0.028036695,-0.03388346,0.043383293,0.03602422,0.0,0.0,0.0,0.0,0.3118015,-0.1742249,0.32224384,0.19194174,0.07896507,0.031901024,0.39072308,0.22212936,-0.013218584,0.016536387,0.038887713,0.04688239,0.0,0.0,0.0,0.0,0.010509623,-0.008314721,0.010509623,0.008314721,0.050682317,-0.054690927,0.051061857,0.057932947,-0.0022429381,0.004097895,0.0042529353,0.006401375
-0.00022377716,-0.0031479388,0.007171541,0.0033291385,-0.011657989,-0.00039386973,0.026868034,0.027821792,0.05452602,0.0008242955,0.06344098,0.029851727,-0.0020056309,-0.00013113003,0.0020144193,0.0010687637,-0.011510965,-0.0028024323,0.047499772,0.03920375,-0.12206795,-0.06399781,0.20462294,0.26599953,0.45266914,-0.08431979,0.46508008,0.1182606,-0.0097163515,-0.0064141024,0.009967208,0.0071882885,-0.012571626,-0.0053704884,0.02388483,0.034267843,0.15759009,0.16160779,0.22378859,0.29802734,0.2292062,0.17143163,0.24715877,0.26563677,0.004338434,0.005649267,0.0055164094,0.013283282,-0.0016095077,0.0031127855,0.0036340635,0.0061429967,0.0045069447,-0.009238073,0.014158401,0.028475342,0.0008212548,-0.04313018,0.011446872,0.058047708,0.0036277194,-0.0039554434,0.0038734048,0.0068606585
0.0023488004,-0.0046363175,0.0031176128,0.0046363175,0.0017976941,-0.0049858987,0.0071061524,0.0052737766,0.004913402,-0.005273938,0.016449714,0.0071558305,-0.0013192177,-0.0006541442,0.0013208524,0.0008452193,0.02847242,-0.021478202,0.02847242,0.021478202,0.033533853,-0.34342054,0.1202772,0.35071173,0.19076037,-0.17146881,0.23376821,0.22757813,-0.008537264,-0.004394889,0.010577181,0.005591476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43641812,0.0071035814,0.5538828,0.25503743,-0.036007497,-0.016812457,0.038292542,0.02494135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009344556,-0.028692272,0.009810761,0.028692272,-0.0024279132,-0.0058669257,0.0024279132,0.0058669257
0.0005118229,-0.00034570132,0.0005118229,0.00034570132,0.049105052,-0.041029606,0.049105052,0.041029606,0.0017744751,-0.009052132,0.016221978,0.01194116,-0.00045073006,0.003144432,0.0015680827,0.0034095263,0.0,0.0,0.0,0.0,0.20220485,-0.14625624,0.20220485,0.17995462,0.25997454,-0.1911079,0.26785663,0.20369646,-0.011587343,-0.010963113,0.0152174495,0.016072482,0.0,0.0,0.0,0.0,0.051747985,0.0068169055,0.051747985,0.02958342,0.38152486,0.07541802,0.56377065,0.39573774,0.0009116319,-0.007802843,0.011799477,0.011104889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008335347,-0.048512433,0.018981047,0.048512433,0.007801959,-0.0070072045,0.0078505585,0.0070072045
0.004079671,-0.0027519262,0.007427318,0.004290297,0.011747952,-0.009090962,0.03850371,0.027015721,-0.017738294,0.0071814526,0.018980078,0.016342502,0.0013812754,-0.0026247718,0.0033549154,0.003024925,0.0073617613,0.00939237,0.018801842,0.021851845,0.32830524,0.053437807,0.38543186,0.17810209,-0.17940949,0.1455591,0.2007895,0.16062999,0.00088739005,0.0052098744,0.007141293,0.021272073,-0.0017764441,-0.0063748294,0.016830124,0.0365799,0.29255736,-0.14500268,0.32155997,0.37654182,-0.10819515,-0.059591692,0.3504184,0.2917375,-0.0028090028,0.0070172832,0.012360959,0.019208828,0.00068147306,0.0012548914,0.0018117349,0.0033393465,0.016304392,-0.0096865855,0.021269094,0.018212643,0.009410435,-0.046875935,0.027194347,0.05574348,0.002166623,-0.0016009468,0.00362096,0.003340156
0.00015492969,0.0009747089,0.0024213667,0.0017865422,-0.035518963,0.002802089,0.03644018,0.009533627,0.05108605,0.0013850051,0.05639216,0.012640102,3.946523e-05,0.00038113087,0.0015135722,0.0008497657,-0.005643828,-0.004734079,0.012771026,0.010019588,-0.3165988,-0.05478394,0.34292904,0.09191078,0.47528943,-0.023080643,0.4778774,0.05632347,-0.01572372,0.0076853656,0.015777789,0.012681446,-0.0018706771,0.0032095006,0.012869331,0.011905314,-0.13582353,0.11472753,0.1841223,0.13763356,0.26588976,0.04457142,0.36408615,0.102246225,-0.0035310148,0.00046397795,0.0046972735,0.0025565717,-0.0006786026,-0.0008889212,0.0011323678,0.0013473098,-0.0010169734,-0.0043143807,0.02016923,0.011505358,0.014406553,-0.0045631183,0.040471382,0.010521232,-0.00022967796,-0.00092618796,0.0012179271,0.00092618796
