v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63
-0.0005876452,-0.0005142474,0.0011889657,0.0017385364,0.0032593354,-0.0076114396,0.004508567,0.009851035,0.004715034,-0.010077788,0.0052903853,0.011598758,0.0011900781,-0.00085612334,0.0027986362,0.0010812591,0.02576249,-0.0027041426,0.03765617,0.024863584,-0.28764358,-0.18553478,0.29599518,0.23953831,0.31243455,-0.13028282,0.35723102,0.29581127,0.0029239967,-0.0055766073,0.013048292,0.012357764,0.036560114,-0.05585981,0.042906526,0.05585981,-0.079423085,0.053467512,0.2050398,0.33753765,0.2137816,0.07425442,0.31142363,0.2678384,0.020872617,-0.012178861,0.025421029,0.016908115,0.0,0.0,0.0,0.0,0.042782933,-0.029297441,0.042782933,0.029297441,-0.00930057,-0.021969376,0.044212528,0.02570297,0.0003953415,-8.40292e-05,0.0019555273,0.0014882713
0.0009666225,0.0028124445,0.0042368053,0.00860624,-0.019518482,0.043343384,0.019518482,0.043343384,0.021663198,0.040275555,0.041076124,0.0500495,-0.0014399283,-0.0037991956,0.0028857577,0.008408671,0.006751861,-0.01643348,0.008281181,0.018193789,-0.10125755,-0.025103785,0.45142496,0.33503652,0.19805945,-0.051843245,0.39145115,0.22683209,-0.030826308,0.038561244,0.030826308,0.03869341,-0.02258305,0.03008685,0.02258305,0.030350933,0.024447259,0.1308491,0.3986606,0.24405852,0.1729118,0.18239473,0.22182663,0.23581159,-0.01610837,0.009907698,0.022808235,0.029540189,-8.050141e-05,-0.00039246067,0.00058787316,0.0012164151,0.0005010873,0.005737596,0.01501433,0.011518351,0.0024504522,0.0005740719,0.013001413,0.022522807,0.00034131913,5.6737503e-05,0.0026119149,0.0027208012
0.008880928,0.0014796555,0.0105592,0.0030343921,0.0092846695,-0.030075343,0.030384548,0.039316237,0.0018528682,5.8746362e-05,0.02809509,0.014694962,-0.0034046688,0.0009863076,0.0035259407,0.0027517863,0.024446642,-0.020197954,0.03184353,0.04178652,-0.008268637,-0.1277125,0.490805,0.3236709,0.114508905,-0.12609605,0.38210803,0.19069107,0.0015956329,0.0063200034,0.010716159,0.013628963,0.0,0.0,0.0,0.0,-0.03729727,-0.019679533,0.3771551,0.10297791,0.21219532,-0.053781234,0.41411525,0.17774498,-0.017843116,-0.05198909,0.062424038,0.0521052,0.0,0.0,0.0,0.0,0.004586294,-0.008895632,0.032564297,0.011232457,-0.0038785692,0.0048770113,0.02752365,0.020620938,8.925449e-05,6.901378e-05,0.0005616902,0.0007302456
0.009349053,0.002553159,0.011251772,0.0038714143,0.009819504,-0.039533433,0.033479784,0.048008204,0.0010688207,-0.0011364435,0.026148364,0.013616098,-0.0032787847,0.00061956974,0.0038081505,0.0027401564,0.021508118,-0.02073937,0.02888643,0.039564196,-0.017846655,-0.1145025,0.49363345,0.30005842,0.13521786,-0.1083477,0.38150814,0.19098799,0.00097594864,0.0058011436,0.011004641,0.011801614,0.0,0.0,0.0,0.0,-0.033126093,-0.022545056,0.37982726,0.10817481,0.20269214,-0.06573223,0.4231516,0.19051036,-0.016082205,-0.052500084,0.06503284,0.052617047,0.0,0.0,0.0,0.0,0.003621503,-0.0077891964,0.033711165,0.010791215,-0.002670655,0.003422077,0.02973289,0.020622356,4.9340695e-05,9.506982e-05,0.000576351,0.0007440773
0.0030068834,0.0011146488,0.004223246,0.0014420723,0.009363596,-0.0069492557,0.029308697,0.0127038155,-0.010748274,0.005527682,0.039557714,0.019710345,-0.002840544,0.002156552,0.002843844,0.0022745505,-0.03287364,-0.020183848,0.05412544,0.04647214,-0.075499006,-0.20967929,0.38722157,0.29767233,0.22044161,-0.107627824,0.25808087,0.12531157,-0.0029882956,-0.0016825381,0.012831943,0.009298579,0.016366636,0.009155597,0.06896972,0.042868007,-0.18138455,-0.13362738,0.21561272,0.18769486,0.4143769,0.06444614,0.46443784,0.108860165,-0.0040785056,-0.017765231,0.0330796,0.031480767,0.0036943504,-0.0023611628,0.010661317,0.0023611628,-0.018688196,0.009032872,0.031018406,0.015196683,0.03306956,-0.03684409,0.090291776,0.038436055,0.0014582288,-0.003665238,0.004531743,0.0036681006
0.009505485,-0.0003351029,0.009819152,0.0024960004,-0.004499955,0.0025844725,0.017987706,0.0076501872,0.0007076835,0.0077790073,0.04142286,0.020270733,-0.0020926718,0.0019194701,0.0020926718,0.0020972074,0.02354628,-0.02632545,0.048810706,0.046896283,-0.0750558,-0.13448977,0.4022351,0.36293152,0.18032502,-0.1257134,0.262674,0.14790271,-0.006631688,0.004960763,0.014227794,0.007996564,0.012588552,-0.005978681,0.012588552,0.005978681,-0.11864033,-0.09206513,0.34136966,0.1573722,0.28568894,-0.005974884,0.49044675,0.19361648,0.034755044,-0.025703095,0.039176583,0.032452095,0.0,0.0,0.0,0.0,-0.0013849052,-0.0025691527,0.04817955,0.015963063,-0.0028822643,-0.026777374,0.03743824,0.038480964,0.003404381,-0.0022618326,0.003530685,0.0023617242
0.0,0.0,0.0,0.0,0.024595635,0.0055196485,0.04756563,0.019940605,0.00080649223,0.019013604,0.02051291,0.038345862,-0.0008396188,-0.0002472798,0.0025919538,0.0028289459,0.0,0.0,0.0,0.0,0.06781381,-0.10873824,0.40715918,0.19528085,0.1355448,-0.15789388,0.22170512,0.21490546,-0.033661272,-0.036084563,0.04050211,0.051445346,0.0,0.0,0.0,0.0,-0.07794337,0.007000811,0.44766387,0.10534352,0.116409294,0.0063657826,0.61338824,0.10838489,-0.000161994,-0.000161994,0.000161994,0.000161994,0.0,0.0,0.0,0.0,0.021957275,-0.019191572,0.036698725,0.032313086,-0.011213989,0.0074924235,0.07061046,0.033457037,-5.9789018e-05,5.9789018e-05,5.9789018e-05,5.9789018e-05
5.0639005e-06,-5.0639005e-06,5.0639005e-06,5.0639005e-06,0.019718742,-0.0020126037,0.045730785,0.0253699,0.0028770454,0.0051465104,0.022601422,0.025938764,-0.0020109673,0.0006089039,0.004826472,0.003662616,0.0,0.0,0.0,0.0,0.07751106,-0.1005352,0.45447323,0.16809808,0.0981153,-0.16316089,0.2563569,0.24065548,-0.03892278,-0.025708165,0.04156828,0.031629056,0.0,0.0,0.0,0.0,-0.030626116,-0.0067057093,0.4111555,0.12422536,0.071923316,0.03323364,0.6111658,0.088160895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015320607,-0.016109522,0.015320607,0.016109522,0.0016690635,-0.009385615,0.06286197,0.042831674,-0.0010542843,0.0012826059,0.0010542843,0.0012826059
0.0,0.0,0.0,0.0,0.014994682,-0.026150834,0.050334226,0.033442497,0.010155571,-0.041590914,0.014209425,0.04727128,-0.002637042,-0.0035909472,0.003826803,0.00443107,0.0,0.0,0.0,0.0,-0.1004327,-0.024603827,0.48447293,0.06688373,0.17721128,0.013162409,0.40611297,0.078214414,-0.0226731,-0.014958104,0.0226731,0.014958104,0.0,0.0,0.0,0.0,0.028376514,-0.03522026,0.38650307,0.26530588,0.07041566,0.06666815,0.5226263,0.15705383,-0.0068506515,1.1376327e-05,0.0068506515,0.00035839557,0.0,0.0,0.0,0.0,0.0017753405,-0.0017753405,0.0017753405,0.0017753405,0.027152788,-0.044190798,0.048163928,0.053896002,-0.004027481,0.00403192,0.005671186,0.0052679675
-0.005443558,-3.0822637e-05,0.011786672,0.0017857082,-0.0064857155,-0.001019498,0.0064857155,0.0017117265,0.040770464,0.015005131,0.042184554,0.01597688,-0.010198159,-0.0030315602,0.010208278,0.0034919118,0.023388745,-0.014607932,0.06477791,0.027415294,-0.13687281,0.07865003,0.13687281,0.07865003,0.3271531,0.029463291,0.44169748,0.085063554,-0.06880115,-0.012328272,0.06880115,0.012328272,0.029039623,-0.019668486,0.029039623,0.019668486,-0.13404016,0.1122477,0.41131637,0.32681358,0.18689546,0.048492394,0.49974653,0.12023606,-0.020218777,-0.005102455,0.020218777,0.005102455,0.0,0.0,0.0,0.0,0.03670007,-0.037616756,0.03670007,0.037616756,-0.007938961,-0.0060080444,0.047652602,0.027800968,-0.0011002428,0.0006990649,0.0011002428,0.0006990649
