v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63
-0.00046510148,0.0010373272,0.0006493922,0.0011662743,-0.04769831,-0.0008513499,0.04769831,0.010156901,0.043427605,-0.0018745703,0.043427605,0.0071680383,-0.007915627,-0.0009422155,0.00830078,0.0012586003,0.0017623772,0.0030618026,0.0056528035,0.0060225967,-0.34024647,-0.112080134,0.38912344,0.12575608,0.32357165,0.0019473127,0.38480836,0.053197842,-0.07596356,-0.0147849005,0.07596356,0.0147849005,-0.0037911392,-0.041138362,0.022616977,0.041333023,-0.13782859,-0.076231144,0.28905368,0.18133634,0.24934669,-0.029484587,0.43576947,0.091377966,-0.08646656,-0.024370208,0.08646656,0.024370208,-0.0015912203,-0.0014026397,0.0023677011,0.0023258892,0.0030619933,0.0030857082,0.024555618,0.008525331,-0.008825189,-0.039349914,0.038168702,0.041955777,-0.0001286296,-0.0001286296,0.0001286296,0.0001286296
0.0020172514,-0.0011432642,0.0020172514,0.0011432642,0.011048309,-0.0020406463,0.022273218,0.012182606,0.0021250322,0.009830783,0.03512875,0.017621068,-0.0028692072,0.007929584,0.0036507514,0.008328528,0.08887787,0.013961719,0.08887787,0.014254995,-0.2065527,0.11922019,0.3392674,0.17824224,0.3034349,0.054994162,0.41206864,0.08845019,-0.008633521,0.01386564,0.009500349,0.016872197,0.09527631,-0.011984739,0.09527631,0.011984739,-0.26277635,0.09972488,0.44364393,0.137508,0.25293052,-0.005218012,0.3390407,0.076163284,0.0034463198,-0.010376378,0.00798711,0.010445216,0.0017619128,-0.0011811269,0.0017619128,0.0011811269,0.0146900285,-0.0037064517,0.0483564,0.010518817,-0.009951616,0.0038572294,0.050442517,0.02318283,0.001435399,-0.0023654567,0.0015948701,0.0023800938
-0.004739661,0.0011474462,0.009444718,0.0032454524,0.015077283,-0.006876918,0.027462475,0.016339675,0.0070733055,-0.015718553,0.012626884,0.018387405,-0.00092923664,-1.2859927e-05,0.0017707795,0.0012538594,0.013068605,-0.009807958,0.027724458,0.0463309,-0.100474514,-0.04570222,0.18002927,0.50950754,0.10442858,0.014386267,0.37364125,0.31923044,-0.0016803049,-0.0064809117,0.0065461923,0.007887107,-0.0007183998,-0.007178585,0.0405771,0.021317389,-0.124708824,0.03412623,0.29203218,0.18308774,0.20496243,0.025359843,0.4897929,0.09756829,0.0038793993,0.011055836,0.013329555,0.018242158,-0.004025548,0.002869943,0.0042706737,0.00387403,-0.009218642,0.024536632,0.042379323,0.03559986,0.017241485,-0.010938292,0.03767883,0.039875414,-6.775465e-05,-0.00062692276,0.0011361137,0.00080179196
0.0012455406,0.0027712246,0.0073016942,0.005424971,0.021291021,0.044698402,0.067278855,0.048282452,-0.0047966326,-0.010588599,0.042895358,0.027629862,0.0014389706,-0.00076990674,0.0035498133,0.003130296,0.02894572,-0.00746215,0.076834515,0.02171129,-0.108494475,-0.20505454,0.34451887,0.25668952,0.052936856,-0.13943037,0.43920684,0.15938435,-0.0056716586,-0.01669318,0.025601348,0.023114441,0.091600336,-0.012397058,0.091600336,0.016496189,-0.1648299,0.13820529,0.27170652,0.20289642,0.059641074,0.08264483,0.52943265,0.14236711,-0.029308503,-0.0061110933,0.030270869,0.0061110933,0.016987577,0.0011379342,0.016987577,0.0019191235,-0.0059147123,0.013594091,0.031673174,0.015380637,-0.031691775,-0.0013092364,0.07494894,0.013300784,-0.0006678254,-0.000582077,0.0006678254,0.000582077
0.0034989063,-0.0004925641,0.005144191,0.00170301,-0.023949258,-0.019959852,0.06940471,0.036899704,0.010358294,0.010973299,0.058063287,0.02444043,0.0046569286,-0.00031832306,0.005753835,0.0018298924,-0.031338822,-0.0041007632,0.037591394,0.014132067,0.05835242,0.080787435,0.47859022,0.27991948,0.023372713,0.06915335,0.49186647,0.13436556,0.038537487,0.0230387,0.055203214,0.041252665,-0.034402397,0.0055709137,0.040368725,0.0181148,0.1134143,-0.07771627,0.33467385,0.26313898,0.14863153,0.009750152,0.27903712,0.2875147,0.011212807,0.00015721038,0.034240417,0.02481687,-0.0025674393,-0.000983126,0.00541998,0.0018272133,-0.015515108,-0.020063277,0.02767505,0.024848115,0.03485102,-0.032538593,0.052371312,0.037076037,0.0074948054,0.00021014664,0.0078049274,0.00074625947
-0.0008183472,-0.0021618856,0.004265236,0.0024005186,-0.0014279798,0.020881414,0.015459481,0.027660508,0.0063977055,0.0046737366,0.014738852,0.008151066,0.002378844,-0.0017739241,0.0068775346,0.0032926714,-0.0027532561,-0.0022291201,0.02477047,0.07763215,-0.22944778,-0.22276993,0.3194839,0.36290365,0.19595163,-0.040624443,0.396786,0.20288187,0.0036425067,-0.00040256328,0.028227245,0.017964792,-0.02515317,-0.03444638,0.03713725,0.041852504,0.028132744,0.08933689,0.31317294,0.15929645,0.15824936,-0.027340075,0.3850379,0.31042242,0.00084896944,-0.00038308286,0.026265148,0.02883628,0.003920502,0.004895651,0.012714014,0.005192848,-0.021487273,-0.010807165,0.04402674,0.044449143,0.021010848,0.012532285,0.028188111,0.019709548,-0.0020710446,0.00198284,0.00461963,0.0020852797
-0.003919166,-0.00032690918,0.0067643514,0.0019021537,-0.018541558,0.023530133,0.02807575,0.028323565,0.021816287,0.020986661,0.045009606,0.02562647,0.0034121892,0.003307645,0.0059320065,0.0042770547,-0.01680711,-0.016471814,0.038899135,0.04471039,-0.16000335,0.06280426,0.3831907,0.2762732,0.15442449,-0.024034018,0.25754791,0.1362477,-0.030617353,0.0018772617,0.038318496,0.025893576,0.02264104,-0.0083729895,0.061004724,0.031485457,-0.1747512,-0.037246548,0.5736701,0.22228767,0.19288099,0.03912008,0.35533002,0.16463587,-0.00449124,-0.0018210217,0.03942682,0.016550401,0.0021158638,0.0009035197,0.008867746,0.0039578606,-0.00572494,0.035117324,0.0847225,0.07627531,-0.0036871876,-0.0037083083,0.019625403,0.007729425,0.005857152,0.0011742808,0.0066562514,0.0025878677
-0.0074109505,-4.632113e-05,0.008354256,0.0021680193,-0.010994639,0.02133436,0.02219285,0.025615724,0.024610065,0.014100459,0.05885825,0.01962844,0.00219466,0.0020867053,0.007545806,0.0042974837,-0.02335377,-0.011768904,0.039857686,0.05080506,-0.1590784,0.07260269,0.37487864,0.27563205,0.17091522,0.0021456718,0.26140538,0.14385633,-0.033951197,0.002722,0.054608125,0.02420452,0.0051147044,-0.01343027,0.05559268,0.03176652,-0.14033163,-0.014123786,0.5964761,0.24409679,0.15331452,0.004205967,0.33427548,0.17129374,0.015659124,0.00728119,0.033699103,0.01851912,-0.0011993884,0.0011707296,0.010087966,0.0047221505,-0.0056887395,0.02546785,0.07463414,0.0743969,-0.0003485141,-0.004730112,0.020965597,0.009194009,0.005335832,0.0014593222,0.0071999007,0.0028779279
0.0068780654,-0.005396832,0.0071949284,0.0054652398,0.015982555,0.013414531,0.06780723,0.065872535,-0.026677437,-0.019627493,0.05237222,0.048212722,0.006899041,-0.002985004,0.0071819266,0.002985004,0.0025927213,0.029800452,0.041101146,0.07188471,-0.10738341,-0.23277068,0.41408476,0.32763827,0.11881339,-0.076582976,0.252639,0.16701873,0.008181881,-0.0012220889,0.01641589,0.014078716,-0.021024471,-0.03643771,0.026542425,0.03680238,-0.030066643,0.0594262,0.43434682,0.31036884,0.18768857,0.03654382,0.3029599,0.29513115,-0.021326825,-0.0019159174,0.02768129,0.009842553,0.004966394,0.0021337657,0.004966394,0.0021337657,-0.0118433,-0.0066566365,0.054732483,0.020068804,0.018919002,0.0021000605,0.066509336,0.03447018,0.0012268319,-0.0014552327,0.0053129033,0.0015765063
0.0061554215,-0.0038571055,0.0063091144,0.0039661783,0.009701622,-0.008235184,0.068838485,0.06428181,-0.013691281,-0.013211129,0.051834065,0.05319476,0.008401783,-0.0035089068,0.008906964,0.0035816825,-0.0011530091,0.038552202,0.03695573,0.06867925,-0.058268376,-0.20757583,0.36104965,0.35831305,0.08428469,-0.09668282,0.25916237,0.18835156,0.0118910745,-0.0048500826,0.02046308,0.017627424,-0.020002423,-0.04432928,0.030706033,0.04432928,-0.020806016,0.042012364,0.45610762,0.3255456,0.18986364,0.036245443,0.3026529,0.29749072,-0.023025716,-0.004571921,0.025543757,0.007090151,0.0036857552,0.0021590167,0.0037700387,0.0021738904,-0.006209351,-0.0047768056,0.058093704,0.022032969,0.019265272,0.0014096373,0.07700863,0.03898498,-0.0036190695,-0.0013652284,0.004353838,0.001811333
